City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Pisco,PE,2022-07-10 01:46:14,-13.7,-76.2167,60.85,88,20,11.5
252,Rawson,AR,2022-07-10 01:46:14,-43.3002,-65.1023,47.79,59,100,3.24
253,Tarakan,ID,2022-07-10 01:46:15,3.3,117.6333,80.1,83,75,1.14
254,Padang,ID,2022-07-10 01:46:15,-0.9492,100.3543,77.05,74,91,0.72
255,Hershey,US,2022-07-10 01:46:15,40.2859,-76.6503,71.85,84,0,3.44
256,Castro,BR,2022-07-10 01:46:16,-24.7911,-50.0119,54.28,84,54,2.98
257,Eidfjord,NO,2022-07-10 01:46:16,60.4675,7.0719,50.67,96,100,4.7
258,Marystown,CA,2022-07-10 01:46:17,47.1666,-55.1483,55.85,100,17,11.56
259,Palmer,US,2022-07-10 01:46:17,42.1584,-72.3287,71.15,66,20,5.75
260,Snyder,US,2022-07-10 01:46:17,32.7179,-100.9176,97.14,26,0,6.91
261,Kushiro,JP,2022-07-10 01:42:14,42.975,144.3747,63.55,100,75,9.22
262,Lazaro Cardenas,MX,2022-07-10 01:45:44,17.9583,-102.2,81.23,81,54,6.64
263,Khatanga,RU,2022-07-10 01:46:18,71.9667,102.5,49.24,82,100,4.45
264,Shwebo,MM,2022-07-10 01:46:18,22.5667,95.7,85.39,65,20,10.87
265,Filadelfia,US,2022-07-10 01:46:08,39.9523,-75.1638,72.48,86,100,3.24
266,Riberalta,BO,2022-07-10 01:46:19,-10.9833,-66.1,77.09,57,36,0.22
267,Cherskiy,RU,2022-07-10 01:46:19,68.75,161.3,50.86,50,84,11.83
268,Broken Hill,AU,2022-07-10 01:46:20,-31.95,141.4333,51.66,50,0,5.99
269,Heishan,CN,2022-07-10 01:46:20,41.6892,122.1128,80.47,71,100,13.91
270,Caborca,MX,2022-07-10 01:44:04,30.5838,-111.101,93.24,31,11,10.29
271,Solano,US,2022-07-10 01:46:20,38.2333,-121.9511,90.9,57,0,21.85
272,Thompson,CA,2022-07-10 01:46:12,55.7435,-97.8558,71.76,78,100,3.44
273,Hirara,JP,2022-07-10 01:46:21,24.8,125.2833,87.66,79,75,12.66
274,Qaqortoq,GL,2022-07-10 01:46:22,60.7167,-46.0333,41.74,92,23,1.99
275,Elat,IL,2022-07-10 01:46:22,29.5581,34.9482,80.44,32,0,9.22
276,Portalegre,PT,2022-07-10 01:46:22,39.2938,-7.4312,73.76,26,0,4.21
277,Riyadh,SA,2022-07-10 01:45:36,24.6877,46.7219,84.34,14,100,8.48
278,Fairbanks,US,2022-07-10 01:42:49,64.8378,-147.7164,71.6,56,100,4.61
279,Kavieng,PG,2022-07-10 01:46:24,-2.5744,150.7967,84.76,64,75,11.68
280,Inhambane,MZ,2022-07-10 01:46:24,-23.865,35.3833,64.49,81,0,6.29
281,Leningradskiy,RU,2022-07-10 01:46:24,69.3833,178.4167,35.87,92,100,7.99
282,Johnshaven,GB,2022-07-10 01:47:54,56.7949,-2.3358,62.89,83,17,5.28
283,Glendive,US,2022-07-10 01:47:54,47.1053,-104.7125,85.62,57,0,10.36
284,Mambolo,SL,2022-07-10 01:47:55,8.9231,-13.0444,77.29,94,99,1.3
285,Rocha,UY,2022-07-10 01:47:55,-34.4833,-54.3333,63.05,92,76,16.93
286,Slave Lake,CA,2022-07-10 01:45:04,55.2834,-114.769,71.58,40,0,10.36
287,Comodoro Rivadavia,AR,2022-07-10 01:47:56,-45.8667,-67.5,46.26,81,100,13.8
288,Minab,IR,2022-07-10 01:47:56,27.1467,57.0801,89.92,66,17,0.0
289,Praia,CV,2022-07-10 01:47:56,14.9215,-23.5087,75.74,83,75,11.5
290,Smithers,CA,2022-07-10 01:47:57,54.7804,-127.1743,66.52,48,40,9.22
291,Joigny,FR,2022-07-10 01:47:57,47.9829,3.401,56.8,76,4,7.43
292,Conneaut,US,2022-07-10 01:43:45,41.9476,-80.5542,70.25,52,2,15.95
293,Conde,BR,2022-07-10 01:47:17,-7.2597,-34.9075,72.86,100,100,4.61
294,Aripuana,BR,2022-07-10 01:47:58,-9.1667,-60.6333,75.07,59,14,0.76
